state_id,state_name,date,day,total_positive,positive_per_100k,positive_increase,positive_increase_per_100k,population_18_plus
MI,Michigan,2020-07-02,2,71678,913.9193494671120,589,7.5099541956546,7842924
MN,Minnesota,2020-07-02,2,37210,858.0702067923832,494,11.3917409877839,4336475
MO,Missouri,2020-07-02,2,22283,467.4582317898869,356,7.4682551953148,4766843
MS,Mississippi,2020-07-02,2,28770,1263.1906166495285,870,38.1986734961797,2277566
MT,Montana,2020-07-02,2,1083,128.8994156083743,67,7.9743867458551,840190
NC,North Carolina,2020-07-02,2,68142,832.2820188023772,1629,19.8965015501317,8187369
ND,North Dakota,2020-07-02,2,3654,627.9526578001722,43,7.3897001328427,581891
NE,Nebraska,2020-07-02,2,19310,1324.1136804051747,133,9.1199958308590,1458334
NH,New Hampshire,2020-07-02,2,5802,525.3255442941244,20,1.8108429655089,1104458
NJ,New Jersey,2020-07-02,2,172356,2482.2239491492324,428,6.1639388836819,6943612
NM,New Mexico,2020-07-02,2,12520,772.3670273308118,244,15.0525203409519,1620991
NV,Nevada,2020-07-02,2,19733,826.5072039277626,632,26.4710157037625,2387517
NY,New York,2020-07-02,2,394954,2560.4362506127935,875,5.6725130503456,15425262
OH,Ohio,2020-07-02,2,54166,594.5068428213952,1301,14.2793154840792,9111081
OK,Oklahoma,2020-07-02,2,14539,483.8699478456156,427,14.2109132491972,3004733
OR,Oregon,2020-07-02,2,9294,277.3355614075660,363,10.8320216043626,3351175
PA,Pennsylvania,2020-07-02,2,88074,866.2412012696295,832,8.1830356229572,10167376
RI,Rhode Island,2020-07-02,2,17035,1992.7099685798710,59,6.9016664600066,854866
SC,South Carolina,2020-07-02,2,39701,983.2989517603704,1782,44.1358840340792,4037531
SD,South Dakota,2020-07-02,2,6893,1032.5694546391475,67,10.0365810910812,667558
TN,Tennessee,2020-07-02,2,46890,881.5362983709909,1575,29.6101443790640,5319123
TX,Texas,2020-07-02,2,175977,814.8565542315544,7915,36.6501851193210,21596071
UT,Utah,2020-07-02,2,23270,1022.9587642552623,554,24.3540677007914,2274774
VA,Virginia,2020-07-02,2,63735,954.8785250988401,532,7.9704303028569,6674671
VT,Vermont,2020-07-02,2,1229,240.9879525632177,17,3.3334379117776,509984
WA,Washington,2020-07-02,2,38189,641.6343740885159,869,14.6005465208023,5951832
WI,Wisconsin,2020-07-02,2,32809,720.1530695676777,584,12.8187202483320,4555837
WV,West Virginia,2020-07-02,2,3053,213.1120077063759,121,8.4462996830893,1432580
WY,Wyoming,2020-07-02,2,1550,348.2950396045166,36,8.0894331779114,445025
AK,Alaska,2020-07-03,3,1065,193.0879937341586,45,8.1586476225701,551562
AL,Alabama,2020-07-03,3,41865,1097.4135745851965,1754,45.9778671879239,3814879
AR,Arkansas,2020-07-03,3,22622,976.0753246069616,547,23.6015030748832,2317649
AZ,Arizona,2020-07-03,3,91858,1629.1267098355036,4433,78.6204653345467,5638481
CA,California,2020-07-03,3,248235,810.7596478389443,5688,18.5775610889194,30617582
CO,Colorado,2020-07-03,3,33619,747.2189049783551,267,5.9343659130022,4499217
CT,Connecticut,2020-07-03,3,46717,1646.2127803225473,71,2.5018966843526,2837847
DC,Delaware,2020-07-03,3,10435,1354.8569707293766,45,5.8426989633754,770192
DE,District of Columbia,2020-07-03,3,11923,2064.2992065182200,192,33.2420907197432,577581
FL,Florida,2020-07-03,3,175200,1015.7812517393515,9324,54.0590433288682,17247808
GA,Georgia,2020-07-03,3,90493,1115.3328595575151,2784,34.3130041109050,8113542
HI,Hawaii,2020-07-03,3,946,84.7667212662320,20,1.7921082720134,1116004
IA,Iowa,2020-07-03,3,30429,1253.1355156371166,220,9.0601010036533,2428229
ID,Idaho,2020-07-03,3,6593,492.4323904444365,223,16.6559112800105,1338864
IL,Illinois,2020-07-03,3,146872,1490.4891908277151,937,9.5088810107139,9853946
IN,Indiana,2020-07-03,3,46915,908.4580611493064,528,10.2241469953498,5164245
KS,Kansas,2020-07-03,3,15919,719.3194593558975,929,41.9779997324976,2213064
KY,Kentucky,2020-07-03,3,16376,472.6388405455781,297,8.5719183953369,3464802
LA,Louisiana,2020-07-03,3,63289,1777.1998144426935,1728,48.5234603067986,3561164
MA,Massachusetts,2020-07-03,3,109628,1978.9508571127369,290,5.2349376852875,5539703
MD,Maryland,2020-07-03,3,68961,1463.8315106815060,538,11.4200976312213,4710993
ME,Maine,2020-07-03,3,3373,307.9324794361723,45,4.1082008818938,1095370
MI,Michigan,2020-07-03,3,72175,920.2562717680294,497,6.3369223009174,7842924
MN,Minnesota,2020-07-03,3,37624,867.6171314258701,414,9.5469246334869,4336475
MO,Missouri,2020-07-03,3,22830,478.9333317669577,547,11.4750999770708,4766843
MS,Mississippi,2020-07-03,3,28770,1263.1906166495285,870,38.1986734961797,2277566
MT,Montana,2020-07-03,3,1128,134.2553470048441,45,5.3559313964698,840190
NC,North Carolina,2020-07-03,3,70241,857.9190702165738,2099,25.6370514141967,8187369
ND,North Dakota,2020-07-03,3,3717,638.7794277622441,63,10.8267699620719,581891
NE,Nebraska,2020-07-03,3,19452,1333.8508188110543,142,9.7371384058796,1458334
NH,New Hampshire,2020-07-03,3,5822,527.1363872596332,20,1.8108429655089,1104458
NJ,New Jersey,2020-07-03,3,172742,2487.7830155256371,386,5.5590663764047,6943612
NM,New Mexico,2020-07-03,3,12776,788.1598355573843,256,15.7928082265725,1620991
NV,Nevada,2020-07-03,3,20718,867.7634546685950,985,41.2562507408324,2387517
NY,New York,2020-07-03,3,395872,2566.3875271616132,918,5.9512765488197,15425262
OH,Ohio,2020-07-03,3,55257,606.4812726393279,1091,11.9744298179327,9111081
OK,Oklahoma,2020-07-03,3,15065,501.3756629956805,526,17.5057151500649,3004733
OR,Oregon,2020-07-03,3,9636,287.5409371339903,342,10.2053757264243,3351175
PA,Pennsylvania,2020-07-03,3,88741,872.8013992990915,667,6.5601980294621,10167376
RI,Rhode Island,2020-07-03,3,17057,1995.2834713276701,22,2.5735027477991,854866
